x,z
-3.6530218e-06,-2.9020073e-05
9.70708e-05,0.000632387
0.0002385038,0.001313123
0.000431939,0.002042275
0.0006859658,0.002819023
0.00101252,0.003638639
0.001429368,0.004492858
0.0019428,0.005378502
0.002556486,0.0062964
0.003274346,0.007243615
0.004119124,0.008202327
0.005097593,0.009172416
0.006209785,0.01016236
0.007468136,0.01115869
0.008891072,0.01215205
0.01048246,0.0131534
0.01225249,0.01415704
0.0142224,0.01514977
0.01640052,0.01614454
0.01880321,0.01713109
0.02145096,0.0181041
0.02435644,0.01907617
0.02754345,0.02003078
0.03103159,0.02097589
0.03484287,0.02190674
0.03900305,0.02281921
0.04353544,0.02371816
0.04846937,0.02459274
0.05383168,0.0254468
0.05965383,0.02626948
0.06596601,0.02706017
0.0728014,0.02780914
0.0801925,0.02851244
0.08817346,0.02916219
0.09677819,0.02975019
0.1060405,0.03027018
0.1159941,0.03071176
0.1266712,0.03106749
0.1381029,0.03132785
0.1503179,0.03148169
0.163342,0.03151797
0.1771975,0.03142523
0.1919023,0.03119325
0.2074689,0.03081116
0.2239038,0.03026585
0.2412068,0.02954238
0.2593698,0.02861934
0.2783767,0.02747204
0.2982021,0.02607586
0.3188115,0.02441418
0.3401608,0.02247218
0.3621961,0.02023845
0.3848541,0.01770726
0.4080625,0.0148787
0.4317404,0.01175924
0.455799,0.008356295
0.4801424,0.004677659
0.5046689,0.0007332084
0.5292733,-0.00346453
0.5538485,-0.007895957
0.5782884,-0.01253307
0.602491,-0.01735717
0.6263611,-0.02236865
0.6498095,-0.02755646
0.6727538,-0.03289717
0.6951178,-0.03835936
0.716834,-0.0439008
0.7378433,-0.04945954
0.7580964,-0.05490715
0.777554,-0.06015285
0.7961856,-0.06516653
0.8139706,-0.06994439
0.8308967,-0.07449655
0.8469599,-0.07883486
0.8621627,-0.08297449
0.8765134,-0.08693326
0.8900275,-0.09071991
0.9027464,-0.09424498
0.9146873,-0.09754353
0.9258565,-0.1007178
0.9362353,-0.103749
0.9453262,-0.1064792
0.9533511,-0.1089559
0.9604829,-0.1112189
0.9668582,-0.1132972
0.9725855,-0.1152143
0.9777027,-0.116972
0.9815697,-0.1183304
0.9844921,-0.1193768
0.9867007,-0.1201802
0.98837,-0.120795
0.9896318,-0.1212646
0.9905855,-0.1216229
0.9913065,-0.1218958
0.9918515,-0.122103
0.9922636,-0.1222602
0.9922379,-0.1227003
0.9922122,-0.1231403
0.9921865,-0.1235804
0.9921608,-0.1240205
0.9921351,-0.1244606
0.9921094,-0.1249006
0.9920838,-0.1253407
0.9920581,-0.1257808
0.9916342,-0.1256953
0.9910736,-0.125583
0.9903321,-0.1254351
0.9893512,-0.1252421
0.9880537,-0.1249898
0.9863371,-0.1246623
0.9840661,-0.1242382
0.981061,-0.1236948
0.9770841,-0.1230034
0.9718201,-0.1221368
0.9659268,-0.1212309
0.9593647,-0.1202989
0.9520216,-0.119346
0.943757,-0.1183782
0.9343927,-0.1174022
0.9237014,-0.1164236
0.9121976,-0.1155121
0.8999056,-0.1146718
0.8867978,-0.1140378
0.8728543,-0.1136112
0.8580606,-0.1133225
0.8424057,-0.1131906
0.8258841,-0.1132439
0.8084971,-0.1135091
0.7902536,-0.1140093
0.7711707,-0.1147547
0.7512739,-0.1157277
0.7305982,-0.1168502
0.7091873,-0.1179454
0.6870936,-0.1188042
0.6643785,-0.1193167
0.6411115,-0.1194038
0.6173702,-0.1190169
0.5932395,-0.1181563
0.56881,-0.1168758
0.5441776,-0.1152702
0.5194413,-0.1134118
0.494703,-0.1113527
0.4700654,-0.1091376
0.4456323,-0.1068147
0.4215065,-0.1044395
0.397788,-0.1020672
0.3745713,-0.09972495
0.3519427,-0.09742323
0.3299771,-0.09517
0.3087373,-0.09297138
0.2882725,-0.09083852
0.2686205,-0.08877946
0.2498098,-0.08675726
0.2318605,-0.08466311
0.2147856,-0.08243548
0.1985899,-0.08006378
0.1832717,-0.07755962
0.1688222,-0.07494955
0.1552269,-0.07226319
0.1424659,-0.06952913
0.1305157,-0.06677145
0.1193497,-0.06400967
0.1089377,-0.06126257
0.09924766,-0.05854598
0.09024666,-0.05587075
0.08190011,-0.05324814
0.07417431,-0.05068187
0.06703525,-0.04817683
0.06044827,-0.04573808
0.05438171,-0.04336383
0.04880139,-0.04106052
0.04367848,-0.03882242
0.03898037,-0.03665629
0.03468124,-0.03455507
0.03075044,-0.03252533
0.02716548,-0.03055991
0.02389905,-0.02866159
0.02092984,-0.02682888
0.0182378,-0.02505421
0.01579845,-0.02334647
0.01359991,-0.02169283
0.01161916,-0.02009751
0.009841584,-0.01856199
0.008259686,-0.0170725
0.006849062,-0.01563901
0.005602561,-0.01426031
0.004516994,-0.01292493
0.003569577,-0.01163994
0.002751364,-0.01041172
0.002063604,-0.009231969
0.001496539,-0.008099055
0.001026439,-0.007025086
0.0006517117,-0.006010956
0.0003687579,-0.005054963
0.0001690796,-0.004157996
3.304666e-05,-0.003323758
-5.002403e-05,-0.00255401
-8.862553e-05,-0.001846959
-9.024689e-05,-0.001200275
-6.059741e-05,-0.00059798
