eta,twist
1.39E-20,1.14E-01
6.77E-03,5.59E-02
1.57E-02,2.36E-02
2.76E-02,-1.17E-02
4.32E-02,-5.49E-02
6.39E-02,-1.03E-01
8.61E-02,-1.41E-01
1.08E-01,-1.81E-01
1.30E-01,-2.28E-01
1.53E-01,-2.64E-01
1.75E-01,-2.68E-01
1.97E-01,-2.52E-01
2.19E-01,-2.24E-01
2.41E-01,-1.93E-01
2.63E-01,-1.69E-01
2.85E-01,-1.45E-01
3.07E-01,-1.16E-01
3.29E-01,-8.95E-02
3.51E-01,-5.72E-02
3.73E-01,-2.24E-02
3.95E-01,2.30E-02
4.16E-01,6.78E-02
4.38E-01,1.14E-01
4.59E-01,1.63E-01
4.81E-01,2.17E-01
5.02E-01,2.65E-01
5.23E-01,3.11E-01
5.44E-01,3.48E-01
5.65E-01,3.76E-01
5.85E-01,3.93E-01
6.06E-01,3.97E-01
6.26E-01,3.94E-01
6.46E-01,3.85E-01
6.66E-01,3.74E-01
6.86E-01,3.58E-01
7.06E-01,3.49E-01
7.25E-01,3.33E-01
7.45E-01,3.26E-01
7.64E-01,3.16E-01
7.83E-01,3.02E-01
8.02E-01,2.75E-01
8.20E-01,2.41E-01
8.39E-01,1.92E-01
8.57E-01,1.46E-01
8.75E-01,1.04E-01
8.92E-01,6.47E-02
9.10E-01,2.60E-02
9.27E-01,-1.24E-02
9.44E-01,-5.34E-02
9.60E-01,-8.66E-02
9.71E-01,-1.10E-01
9.80E-01,-1.25E-01
9.85E-01,-1.37E-01
9.90E-01,-1.45E-01
9.93E-01,-1.50E-01
9.95E-01,-1.54E-01
9.96E-01,-1.57E-01
9.97E-01,-1.59E-01
9.98E-01,-1.61E-01
9.99E-01,-1.62E-01
9.99E-01,-1.63E-01
1.00E+00,-1.63E-01
1.00E+00,-1.64E-01
1.00E+00,-1.64E-01
1.00E+00,-1.64E-01
