aoa,cl,cd
0.0,0.22061049210172645,0.009324907281779251
0.25,0.2507949673569125,0.009880599043279393
0.5,0.28100401538901626,0.010511417373113565
0.75,0.31125575785659976,0.011218090866941682
1.0,0.34157028681274937,0.012001781099174394
1.25,0.37197094098909134,0.012864341280487787
1.5,0.40248527013793334,0.01380920331009052
1.75,0.433139836538498,0.01484377926722097
2.0,0.46393755312548196,0.015982850957381542
2.25,0.4947876240423023,0.017251121132949798
2.5,0.5254900744929772,0.018673934613407158
2.75,0.5558495649505558,0.020271520317052677
3.0,0.5857035150898227,0.022062976914062928
3.25,0.6148672887573352,0.024068262151512594
3.5,0.6430853053588933,0.026304418330538766
3.75,0.6700290436233622,0.02878183524676049
4.0,0.6952688282728929,0.03150678829707363
4.25,0.7181114828473585,0.03448692489060051
4.5,0.7376020339719891,0.037738085882773824
4.75,0.7537330518387346,0.04124749476499509
5.0,0.7673318738578989,0.04496758362630315
