USkin thickness,LSkin thickness,FSpar thickness,RSpar thickness
0.011276242695493625,0.008896961131432407,0.0030036335987339976,0.0030874078220257837
0.011131363848333605,0.00910043357986954,0.003112551531995085,0.0029463861010816635
0.012083900632565425,0.012915041165700254,0.00393960609221347,0.0054116108431864676
0.013919855603415559,0.012250725658652241,0.005286572950477277,0.004999244215682744
0.012627564320980108,0.009579706403528584,0.004327180948131219,0.003923904770691757
0.012241258754779338,0.008589317047323353,0.004094759988044116,0.003672328527257557
0.011778624592543162,0.00799893591619435,0.004037249050595836,0.0035677816231031705
0.011240285764917887,0.007430078261221764,0.003991180819444722,0.003494669378479062
0.010742963992092859,0.006880807168752331,0.0043709278954020695,0.0035309142675671833
0.009985411906393685,0.00763742938776272,0.0045395199127264705,0.0035979329847776916
0.00948169571048754,0.0069800281305143754,0.004578347010863143,0.0034433434540619636
0.008972620478907262,0.0064179235965697275,0.004299308773360926,0.00334591632633134
0.008384011710038119,0.0058114765746587055,0.004010513585766423,0.0032791000048124535
0.007748569705119075,0.005231811893601537,0.0037588569896943695,0.003221223430196777
0.007121915012873839,0.0047529442339812435,0.003442995855900752,0.003140938901317383
0.006474649180533427,0.004391654722250521,0.0032637293199006823,0.0030477355631665522
0.005773816344447017,0.004047715214227618,0.003163011582281974,0.0029628346992205176
0.004976231609945048,0.0036843052961069646,0.0030642947972049275,0.00288888414424521
0.00437255991931537,0.0033355214488709145,0.0029556134507422544,0.0029294570344934817
0.0037720582985950758,0.0030290572606497795,0.0028143408452537926,0.0025306607690399672
0.003240671137402753,0.002815384004647331,0.0026151422076243413,0.0022286
0.0028584735821316396,0.002559167819710016,0.0022286,0.0022286
