USkin thickness,LSkin thickness,FSpar thickness,RSpar thickness
0.00899135,0.008537091,0.006033491,0.00714232
0.008679394,0.007918648,0.007894892,0.004185044
0.007844661,0.008526809,0.01132439,0.014800471
0.008301462,0.010644686,0.012443854,0.012156183
0.007634742,0.008528094,0.012120165,0.011148571
0.007787358,0.007746364,0.011770424,0.01034396
0.007383294,0.007217594,0.011356286,0.009821348
0.007567647,0.006568253,0.010970014,0.009408031
0.008967625,0.006016642,0.010374017,0.008955126
0.007246301,0.005670019,0.010015462,0.008647866
0.007096209,0.005552836,0.009370346,0.007977221
0.006848884,0.005266627,0.008963887,0.007773924
0.006711686,0.005325475,0.008489885,0.007186921
0.006409246,0.004954411,0.007855836,0.00671848
0.006137818,0.004724844,0.007390942,0.006279875
0.00584845,0.004539652,0.006815391,0.005748607
0.005395196,0.004113125,0.006194307,0.005246365
0.004915519,0.003710168,0.00559504,0.004705938
0.004370798,0.003314446,0.004933184,0.004152706
0.003580434,0.002819985,0.004196793,0.003509303
0.002705669,0.002880598,0.003361431,0.00283426
0.002219336,0.002527273,0.002379612,0.001972648
