eta,lift
0.00E+00,1.26E+00
2.00E-02,1.24E+00
4.00E-02,1.23E+00
6.00E-02,1.23E+00
8.00E-02,1.22E+00
1.00E-01,1.22E+00
1.20E-01,1.22E+00
1.40E-01,1.22E+00
1.60E-01,1.22E+00
1.80E-01,1.21E+00
2.00E-01,1.21E+00
2.20E-01,1.21E+00
2.40E-01,1.20E+00
2.60E-01,1.20E+00
2.80E-01,1.19E+00
3.00E-01,1.18E+00
3.20E-01,1.17E+00
3.40E-01,1.17E+00
3.60E-01,1.16E+00
3.80E-01,1.15E+00
4.00E-01,1.13E+00
4.20E-01,1.12E+00
4.40E-01,1.11E+00
4.60E-01,1.10E+00
4.80E-01,1.09E+00
5.00E-01,1.07E+00
5.20E-01,1.06E+00
5.40E-01,1.04E+00
5.60E-01,1.03E+00
5.80E-01,1.01E+00
6.00E-01,9.94E-01
6.20E-01,9.77E-01
6.40E-01,9.60E-01
6.60E-01,9.42E-01
6.80E-01,9.23E-01
7.00E-01,9.03E-01
7.20E-01,8.83E-01
7.40E-01,8.61E-01
7.60E-01,8.39E-01
7.80E-01,8.14E-01
8.00E-01,7.89E-01
8.20E-01,7.61E-01
8.40E-01,7.31E-01
8.60E-01,6.97E-01
8.80E-01,6.60E-01
9.00E-01,6.16E-01
9.20E-01,5.64E-01
9.40E-01,5.02E-01
9.60E-01,4.19E-01
9.80E-01,3.09E-01
1.00E+00,0.00E+00
