eta,twist
1.39E-20,1.29E-01
6.77E-03,1.19E-01
1.57E-02,1.03E-01
2.76E-02,7.32E-02
4.32E-02,1.65E-02
6.39E-02,-9.81E-02
8.61E-02,-2.42E-01
1.08E-01,-3.45E-01
1.30E-01,-3.66E-01
1.53E-01,-3.63E-01
1.75E-01,-3.98E-01
1.97E-01,-4.77E-01
2.19E-01,-5.79E-01
2.41E-01,-6.91E-01
2.63E-01,-8.01E-01
2.85E-01,-9.12E-01
3.07E-01,-1.02E+00
3.29E-01,-1.14E+00
3.51E-01,-1.24E+00
3.73E-01,-1.35E+00
3.95E-01,-1.47E+00
4.16E-01,-1.58E+00
4.38E-01,-1.69E+00
4.59E-01,-1.80E+00
4.81E-01,-1.91E+00
5.02E-01,-2.03E+00
5.23E-01,-2.14E+00
5.44E-01,-2.26E+00
5.65E-01,-2.37E+00
5.85E-01,-2.48E+00
6.06E-01,-2.59E+00
6.26E-01,-2.69E+00
6.46E-01,-2.79E+00
6.66E-01,-2.89E+00
6.86E-01,-2.99E+00
7.06E-01,-3.08E+00
7.25E-01,-3.17E+00
7.45E-01,-3.26E+00
7.64E-01,-3.35E+00
7.83E-01,-3.43E+00
8.02E-01,-3.50E+00
8.20E-01,-3.56E+00
8.39E-01,-3.61E+00
8.57E-01,-3.66E+00
8.75E-01,-3.70E+00
8.92E-01,-3.74E+00
9.10E-01,-3.77E+00
9.27E-01,-3.80E+00
9.44E-01,-3.82E+00
9.60E-01,-3.83E+00
9.71E-01,-3.85E+00
9.80E-01,-3.85E+00
9.85E-01,-3.86E+00
9.90E-01,-3.86E+00
9.93E-01,-3.86E+00
9.95E-01,-3.87E+00
9.96E-01,-3.87E+00
9.97E-01,-3.87E+00
9.98E-01,-3.87E+00
9.99E-01,-3.87E+00
9.99E-01,-3.87E+00
1.00E+00,-3.87E+00
1.00E+00,-3.87E+00
1.00E+00,-3.87E+00
1.00E+00,-3.87E+00
