eta,twist
1.39E-20,-9.92E-02
6.77E-03,-9.56E-02
1.57E-02,-8.98E-02
2.76E-02,-7.97E-02
4.32E-02,-6.04E-02
6.39E-02,-2.30E-02
8.61E-02,2.05E-02
1.08E-01,4.37E-02
1.30E-01,3.17E-02
1.53E-01,5.08E-03
1.75E-01,-1.09E-02
1.97E-01,-1.20E-02
2.19E-01,-5.49E-03
2.41E-01,2.86E-03
2.63E-01,9.42E-03
2.85E-01,1.49E-02
3.07E-01,2.04E-02
3.29E-01,2.41E-02
3.51E-01,2.61E-02
3.73E-01,2.76E-02
3.95E-01,3.07E-02
4.16E-01,3.28E-02
4.38E-01,3.15E-02
4.59E-01,2.96E-02
4.81E-01,2.89E-02
5.02E-01,2.92E-02
5.23E-01,2.95E-02
5.44E-01,2.79E-02
5.65E-01,2.56E-02
5.85E-01,2.10E-02
6.06E-01,1.53E-02
6.26E-01,7.64E-03
6.46E-01,-1.16E-03
6.66E-01,-1.14E-02
6.86E-01,-2.40E-02
7.06E-01,-3.80E-02
7.25E-01,-5.27E-02
7.45E-01,-6.44E-02
7.64E-01,-7.77E-02
7.83E-01,-9.15E-02
8.02E-01,-1.08E-01
8.20E-01,-1.25E-01
8.39E-01,-1.42E-01
8.57E-01,-1.60E-01
8.75E-01,-1.77E-01
8.92E-01,-1.92E-01
9.10E-01,-2.07E-01
9.27E-01,-2.21E-01
9.44E-01,-2.33E-01
9.60E-01,-2.44E-01
9.71E-01,-2.51E-01
9.80E-01,-2.56E-01
9.85E-01,-2.60E-01
9.90E-01,-2.62E-01
9.93E-01,-2.64E-01
9.95E-01,-2.65E-01
9.96E-01,-2.66E-01
9.97E-01,-2.67E-01
9.98E-01,-2.67E-01
9.99E-01,-2.68E-01
9.99E-01,-2.68E-01
1.00E+00,-2.68E-01
1.00E+00,-2.68E-01
1.00E+00,-2.68E-01
1.00E+00,-2.69E-01
