eta,lift
0.000E+00,1.350E+00
2.000E-02,1.340E+00
4.000E-02,1.336E+00
6.000E-02,1.329E+00
8.000E-02,1.321E+00
1.000E-01,1.319E+00
1.200E-01,1.322E+00
1.400E-01,1.322E+00
1.600E-01,1.318E+00
1.800E-01,1.312E+00
2.000E-01,1.305E+00
2.200E-01,1.295E+00
2.400E-01,1.284E+00
2.600E-01,1.272E+00
2.800E-01,1.259E+00
3.000E-01,1.245E+00
3.200E-01,1.229E+00
3.400E-01,1.213E+00
3.600E-01,1.196E+00
3.800E-01,1.178E+00
4.000E-01,1.159E+00
4.200E-01,1.139E+00
4.400E-01,1.120E+00
4.600E-01,1.100E+00
4.800E-01,1.078E+00
5.000E-01,1.056E+00
5.200E-01,1.034E+00
5.400E-01,1.012E+00
5.600E-01,9.889E-01
5.800E-01,9.651E-01
6.000E-01,9.416E-01
6.200E-01,9.181E-01
6.400E-01,8.939E-01
6.600E-01,8.690E-01
6.800E-01,8.441E-01
7.000E-01,8.193E-01
7.200E-01,7.942E-01
7.400E-01,7.685E-01
7.600E-01,7.420E-01
7.800E-01,7.154E-01
8.000E-01,6.884E-01
8.200E-01,6.605E-01
8.400E-01,6.313E-01
8.600E-01,6.005E-01
8.800E-01,5.676E-01
9.000E-01,5.314E-01
9.200E-01,4.906E-01
9.400E-01,4.431E-01
9.600E-01,3.827E-01
9.800E-01,3.034E-01
1.000E+00,0.000E+00
