x,z
6.0605163e-07,-8.550703e-05
1.350814e-05,0.0004399369
5.736559e-05,0.0009107636
0.0001379068,0.001424063
0.0002622612,0.001981316
0.0004385371,0.002583538
0.0006769384,0.003229632
0.0009959046,0.003916783
0.001403835,0.004643052
0.001905399,0.005408871
0.002502209,0.006213763
0.003215446,0.007049098
0.00405809,0.007912308
0.005031481,0.008807189
0.006138709,0.009732606
0.007406289,0.01067836
0.008840003,0.01164893
0.01044273,0.01264906
0.0122402,0.01366709
0.0142432,0.01470844
0.01646106,0.01577755
0.01892014,0.01686439
0.02163211,0.01797925
0.02461761,0.01911937
0.02790055,0.02028383
0.03149873,0.02148047
0.03544132,0.02270248
0.03974994,0.02395937
0.04445487,0.02524647
0.04958316,0.02656943
0.05516692,0.02792541
0.06123708,0.02931734
0.06782819,0.03074219
0.0749735,0.03220224
0.08270929,0.03369415
0.09107044,0.03521856
0.1000933,0.03677255
0.1098138,0.03835285
0.1202662,0.03995732
0.1314848,0.04158017
0.1435012,0.04321493
0.1563447,0.04485362
0.1700412,0.04648562
0.1846124,0.04809934
0.2000745,0.04968274
0.2164379,0.05122125
0.2337063,0.05269967
0.2518758,0.05410275
0.2709339,0.05542016
0.290859,0.0566505
0.3116197,0.05778603
0.333175,0.05880726
0.3554734,0.05969444
0.3784533,0.06042928
0.402043,0.06099451
0.4261618,0.06137515
0.4507207,0.06155546
0.4756231,0.06151944
0.5007665,0.0612529
0.5260434,0.06074433
0.5513435,0.0599895
0.5765557,0.05899335
0.601571,0.05776527
0.626285,0.05631369
0.6505995,0.0546559
0.6744228,0.05281591
0.6976711,0.05082139
0.7202692,0.04870546
0.7421514,0.04651452
0.7632624,0.04432932
0.7835572,0.04220167
0.8030007,0.04014973
0.8215681,0.03817664
0.8392438,0.03627785
0.856021,0.03444695
0.8719004,0.03267504
0.8868898,0.03095305
0.9010053,0.02928281
0.9142813,0.02772621
0.9267248,0.02620053
0.9383624,0.02469938
0.9491405,0.0232323
0.9582003,0.02193185
0.9658934,0.02077013
0.97249,0.01972547
0.9781983,0.01878079
0.9831794,0.01792171
0.9875229,0.01714395
0.9908061,0.0165363
0.9932878,0.01606417
0.9951638,0.01569965
0.996582,0.01541923
0.9976542,0.01520427
0.9984646,0.01503961
0.9990774,0.01491407
0.9995407,0.01481868
0.999891,0.01474619
0.9998942,0.01451291
0.9998975,0.01427963
0.9999008,0.01404635
0.999904,0.01381307
0.9999073,0.01357979
0.9999105,0.01334651
0.9999138,0.01311323
0.999917,0.01287995
0.9995611,0.01291105
0.9990903,0.01295179
0.9984677,0.01300529
0.9976442,0.01307506
0.996555,0.01316537
0.9951145,0.01328229
0.9932092,0.01343162
0.9906891,0.01362149
0.9873557,0.01385841
0.9829464,0.01414824
0.9778909,0.01444947
0.9720988,0.01475535
0.9654074,0.01505786
0.957607,0.01534721
0.9484262,0.01560864
0.9375119,0.01582093
0.9257382,0.01594516
0.9131629,0.01597003
0.8997633,0.01587025
0.8855265,0.01555516
0.87043,0.01507267
0.8544625,0.01439823
0.8376198,0.01349176
0.8199045,0.01230737
0.8013266,0.01079494
0.7819046,0.008906373
0.7616666,0.006608368
0.7406495,0.003912365
0.7188983,0.0009196941
0.6964663,-0.002207285
0.6734156,-0.00538991
0.6498165,-0.008563521
0.6257467,-0.01165981
0.6012914,-0.01461443
0.5765413,-0.01737128
0.5515917,-0.01988754
0.5265404,-0.0221521
0.5014869,-0.02416884
0.4765308,-0.02593794
0.4517732,-0.02746563
0.4273154,-0.02876794
0.4032575,-0.02985074
0.3796957,-0.03067877
0.3567197,-0.03122676
0.3344095,-0.03149545
0.3128334,-0.03150524
0.2920467,-0.03129415
0.2720922,-0.03090254
0.2530014,-0.03040213
0.234796,-0.02987943
0.2174889,-0.02937398
0.2010842,-0.02889536
0.1855787,-0.02843763
0.1709624,-0.02799244
0.157219,-0.02755074
0.1443274,-0.02710442
0.1322621,-0.02664702
0.1209947,-0.02617154
0.1104937,-0.0256751
0.1007254,-0.02515677
0.09165533,-0.02461439
0.08324831,-0.02404654
0.07546824,-0.02345409
0.06828086,-0.02283388
0.06165014,-0.02218987
0.05554324,-0.02151932
0.04992596,-0.02082703
0.04476762,-0.020111
0.04003634,-0.01937696
0.03570451,-0.01862301
0.03174217,-0.01785666
0.02812636,-0.01707373
0.02482807,-0.01628424
0.0218292,-0.01548296
0.01910419,-0.01467652
0.01663404,-0.01386747
0.01440428,-0.01305084
0.012389,-0.01223958
0.01058029,-0.01142788
0.008964599,-0.01061388
0.007517874,-0.009811237
0.00623882,-0.009013472
0.005118918,-0.0082182
0.004131633,-0.007439477
0.00327776,-0.006675743
0.002555694,-0.0059238
0.001946789,-0.005189486
0.001435213,-0.00448274
0.001020251,-0.003803734
0.0006970002,-0.003152976
0.0004535302,-0.002533627
0.000272059,-0.001951229
0.0001436663,-0.001408057
6.0211e-05,-0.0009039535
1.448109e-05,-0.0004382273
