eta,lift
0,1.349603
0.01010101,1.344492
0.02020202,1.346912
0.03030303,1.351723
0.04040404,1.35614
0.05050505,1.356759
0.06060606,1.356118
0.07070707,1.354686
0.08080808,1.352906
0.09090909,1.350981
0.1010101,1.348966
0.1111111,1.346518
0.1212121,1.343685
0.1313131,1.340763
0.1414141,1.338395
0.1515152,1.335926
0.1616162,1.332996
0.1717172,1.329948
0.1818182,1.326409
0.1919192,1.322688
0.2020202,1.31854
0.2121212,1.314139
0.2222222,1.309399
0.2323232,1.304287
0.2424242,1.298966
0.2525253,1.293232
0.2626263,1.287391
0.2727273,1.281134
0.2828283,1.274797
0.2929293,1.268072
0.3030303,1.261232
0.3131313,1.254096
0.3232323,1.246782
0.3333333,1.239252
0.3434343,1.231513
0.3535354,1.223597
0.3636364,1.215389
0.3737374,1.207057
0.3838384,1.198387
0.3939394,1.18966
0.4040404,1.18051
0.4141414,1.171337
0.4242424,1.161726
0.4343434,1.152057
0.4444444,1.142155
0.4545455,1.132145
0.4646465,1.121754
0.4747475,1.111165
0.4848485,1.100385
0.4949495,1.089422
0.5050505,1.078237
0.5151515,1.066788
0.5252525,1.055307
0.5353535,1.043741
0.5454545,1.032093
0.5555556,1.020215
0.5656566,1.008257
0.5757576,0.996059
0.5858586,0.9838097
0.5959596,0.9712639
0.6060606,0.9586582
0.6161616,0.9457573
0.6262626,0.9329171
0.6363636,0.9201182
0.6464646,0.9072891
0.6565657,0.8942167
0.6666667,0.8811003
0.6767677,0.8677548
0.6868687,0.854368
0.6969697,0.840763
0.7070707,0.8270658
0.7171717,0.8131274
0.7272727,0.7991002
0.7373737,0.7848881
0.7474747,0.77041
0.7575758,0.7556839
0.7676768,0.7406452
0.7777778,0.7254627
0.7878788,0.7098039
0.7979798,0.694078
0.8080808,0.6776102
0.8181818,0.6611489
0.8282828,0.6439933
0.8383838,0.6266904
0.8484848,0.6086367
0.8585859,0.5900989
0.8686869,0.5710322
0.8787879,0.5509036
0.8888889,0.530521
0.8989899,0.5082504
0.9090909,0.4856034
0.9191919,0.4612523
0.9292929,0.4357953
0.9393939,0.4094634
0.949495,0.3807755
0.959596,0.3493706
0.969697,0.3101653
0.979798,0.2659291
0.989899,0.2623972
1,-0.0000001493308
